,Hospitais,Hospitais,Hospitais,MedFarm,MedFarm,Ensino,Ensino,Ensino,Ensino,Ensino,Universidades,Universidades,Universidades,Abstencao,GanhoMes,GanhoMes,GanhoMes,PoderCompra,Hospedes,Hospedes
,Total,Oficial,Privado,Medico,Farmaceutico,Educação Pré-Escolar,Ensino Básico - 1º Ciclo,Ensino Básico - 2º Ciclo,Ensino Básico - 3º Ciclo,Ensino Secundário,Total,Público,Privado,Abstencao,Total,Masculino,Feminino,PoderCompra,Total,Hotéis
CASTELO-BRANCO,1,1,0,209.2,713.6,28,22,6,9,5,5,5,0,45.7,957.1,1021.4,889.2,95.8,58304,0
IDANHA-A-NOVA,0,0,0,900.0,1350.0,9,5,1,2,2,1,1,0,49.4,885.2,919.2,844.0,67.6,20697,13249
OLEIROS,0,0,0,1256.0,837.3,4,3,1,1,1,0,0,0,39.1,935.7,1018.8,790.2,63.6,5314,0
PENAMACOR,0,0,0,958.6,958.6,2,2,1,1,1,0,0,0,49.4,907.4,1010.2,826.7,60.6,8620,0
PROENCA-A-NOVA,0,0,0,524.6,1468.8,3,2,1,1,1,0,0,0,40.6,904.4,961.3,819.3,69.0,4293,0
VILA-VELHA-DE-RODAO,0,0,0,525.9,788.9,1,1,1,1,0,0,0,0,38.8,1227.9,1414.6,932.4,71.7,3353,0
ABRANTES,1,1,0,339.0,641.0,20,14,3,5,4,1,1,0,45.8,1084.8,1206.1,939.3,89.2,21037,16750
ALCANENA,1,0,1,675.5,1166.8,13,10,2,2,1,0,0,0,46.5,1063.1,1128.4,975.3,86.1,6475,0
CONSTANCIA,1,1,0,803.2,502.0,3,3,1,1,1,0,0,0,39.2,1239.6,1471.6,912.7,83.1,6744,0
ENTRONCAMENTO,1,0,1,285.1,1018.4,7,5,1,3,2,0,0,0,43.9,1131.0,1295.8,926.5,98.5,0,0
FERREIRA-DO-ZEZERE,0,0,0,1329.0,1993.5,3,2,1,1,1,0,0,0,37.9,909.8,974.4,827.8,67.8,14280,0
MACAO,0,0,0,1259.0,1049.2,3,2,1,1,1,0,0,0,33.2,889.4,1024.4,754.7,68.8,1579,0
OUREM,0,0,0,677.8,957.7,28,25,7,7,5,0,0,0,45.8,1004.6,1128.6,871.3,83.6,656435,0
SARDOAL,0,0,0,374.0,1870.0,2,1,1,1,1,0,0,0,33.1,819.7,832.9,810.4,68.6,573,0
SERTA,0,0,0,812.8,1219.1,10,8,2,2,4,0,0,0,40.6,867.8,928.1,799.4,72.6,30073,22231
TOMAR,1,1,0,323.0,681.9,23,20,3,5,3,2,2,0,45.1,991.0,1090.1,892.1,85.0,77750,56639
TORRES-NOVAS,1,1,0,279.6,743.6,19,11,4,6,3,0,0,0,43.2,1048.4,1113.8,970.8,96.8,15455,13299
VILA-DE-REI,0,0,0,1107.3,664.4,2,1,1,1,1,0,0,0,30.4,820.5,880.8,791.7,66.2,2877,0
VILA-NOVA-DA-BARQUINHA,0,0,0,743.2,1857.9,6,2,1,1,1,0,0,0,42.8,840.2,928.1,767.1,72.3,0,0
ALMEIDA,0,0,0,391.9,1959.3,2,3,2,2,2,0,0,0,53.2,831.0,900.3,780.5,74.2,18212,0
BELMONTE,0,0,0,800.3,1280.5,7,2,1,1,1,0,0,0,52.0,821.6,939.5,748.0,71.3,20649,0
CELORICO-DA-BEIRA,0,0,0,1158.8,1390.6,5,6,1,1,1,0,0,0,53.1,940.7,1147.7,760.1,65.0,15364,0
COVILHA,1,1,0,199.0,572.6,38,29,6,9,5,1,1,0,44.1,943.4,999.1,883.1,86.6,176915,0
FIGUEIRA-DE-CASTELO-RODRIGO,0,0,0,561.8,561.8,5,4,1,1,1,0,0,0,51.3,805.9,838.9,782.1,66.8,8881,0
