,F,F,F,F,F,F,F,F,M,M,M,M,M,M,M,M
,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus
TORRES-VEDRAS,3850.0,4133.0,4285.0,6348.0,5924.0,5090.0,4595.0,6387.0,3922.0,4240.0,4474.0,5974.0,5667.0,4822.0,4137.0,4682.0
AGUEDA,2038.0,2372.0,2632.0,3381.0,3612.0,3317.0,2901.0,3725.0,2020.0,2421.0,2745.0,3127.0,3312.0,3124.0,2577.0,2771.0
ALBERGARIA-A-VELHA,1175.0,1312.0,1392.0,1915.0,1834.0,1638.0,1357.0,1828.0,1205.0,1321.0,1428.0,1847.0,1790.0,1520.0,1289.0,1293.0
ANADIA,1034.0,1321.0,1360.0,1816.0,2007.0,1994.0,1876.0,2790.0,1071.0,1388.0,1451.0,1779.0,1867.0,1848.0,1653.0,2004.0
AVEIRO,3656.0,4161.0,4981.0,6669.0,6239.0,5684.0,4434.0,5656.0,3714.0,4179.0,4875.0,6204.0,5536.0,5014.0,3793.0,3939.0
ESTARREJA,1131.0,1423.0,1536.0,1765.0,2012.0,1777.0,1591.0,2236.0,1252.0,1462.0,1544.0,1728.0,1956.0,1627.0,1378.0,1587.0
ILHAVO,1869.0,2148.0,2292.0,3068.0,3285.0,2715.0,2191.0,2677.0,1922.0,2175.0,2223.0,2853.0,2964.0,2487.0,1980.0,1851.0
MURTOSA,493.0,561.0,597.0,708.0,696.0,601.0,666.0,1007.0,536.0,582.0,578.0,759.0,702.0,561.0,542.0,689.0
OLIVEIRA-DO-BAIRRO,1242.0,1279.0,1346.0,2125.0,1745.0,1464.0,1419.0,2150.0,1244.0,1318.0,1296.0,1954.0,1630.0,1305.0,1202.0,1559.0
OVAR,2499.0,3097.0,3176.0,4328.0,4503.0,3929.0,2928.0,3678.0,2688.0,3225.0,3166.0,4142.0,4230.0,3542.0,2650.0,2480.0
SEVER-DO-VOUGA,426.0,577.0,608.0,758.0,813.0,816.0,711.0,1155.0,483.0,617.0,601.0,755.0,780.0,778.0,648.0,805.0
VAGOS,1061.0,1243.0,1440.0,1693.0,1683.0,1449.0,1361.0,1880.0,1110.0,1306.0,1347.0,1661.0,1594.0,1355.0,1233.0,1325.0
ARGANIL,395.0,480.0,507.0,607.0,748.0,755.0,780.0,1493.0,374.0,516.0,560.0,575.0,749.0,751.0,709.0,1016.0
CANTANHEDE,1385.0,1625.0,1842.0,2459.0,2378.0,2423.0,2468.0,3790.0,1459.0,1702.0,1853.0,2344.0,2275.0,2243.0,2183.0,2581.0
COIMBRA,5127.0,6415.0,8395.0,9963.0,10352.0,10373.0,8964.0,11944.0,5377.0,6502.0,8077.0,9518.0,9179.0,8867.0,7465.0,7647.0
CONDEIXA-A-NOVA,909.0,825.0,927.0,1645.0,1439.0,1113.0,1036.0,1531.0,977.0,896.0,848.0,1493.0,1354.0,925.0,823.0,991.0
FIGUEIRA-DA-FOZ,2341.0,2655.0,3020.0,4208.0,4431.0,4409.0,3900.0,6004.0,2517.0,2819.0,3040.0,4001.0,3955.0,3990.0,3480.0,3976.0
GOIS,122.0,151.0,153.0,213.0,231.0,254.0,275.0,617.0,124.0,169.0,183.0,196.0,230.0,242.0,235.0,411.0
LOUSA,856.0,861.0,951.0,1574.0,1292.0,1062.0,953.0,1306.0,918.0,933.0,915.0,1413.0,1307.0,1023.0,899.0,894.0
MEALHADA,845.0,908.0,1067.0,1534.0,1526.0,1383.0,1184.0,1890.0,939.0,1040.0,1066.0,1513.0,1415.0,1264.0,1031.0,1306.0
MIRA,423.0,542.0,621.0,820.0,809.0,829.0,929.0,1257.0,496.0,574.0,613.0,757.0,731.0,787.0,770.0,874.0
MIRANDA-DO-CORVO,493.0,663.0,649.0,935.0,1012.0,804.0,801.0,1227.0,545.0,739.0,749.0,801.0,979.0,822.0,691.0,797.0
MONTEMOR-O-VELHO,1038.0,1121.0,1497.0,1878.0,1860.0,1667.0,1585.0,2418.0,1138.0,1158.0,1456.0,1922.0,1801.0,1585.0,1293.0,1806.0
MORTAGUA,279.0,349.0,442.0,506.0,576.0,682.0,719.0,1016.0,301.0,386.0,489.0,566.0,531.0,602.0,608.0,750.0
OLIVEIRA-DO-HOSPITAL,740.0,1006.0,994.0,1232.0,1406.0,1340.0,1195.0,2100.0,783.0,1086.0,999.0,1192.0,1344.0,1304.0,1071.0,1460.0
PAMPILHOSA-DA-SERRA,88.0,117.0,145.0,160.0,206.0,280.0,343.0,836.0,87.0,132.0,148.0,169.0,215.0,286.0,315.0,507.0
PENACOVA,516.0,671.0,669.0,961.0,986.0,928.0,1013.0,1479.0,520.0,632.0,664.0,927.0,975.0,917.0,852.0,985.0
PENELA,216.0,240.0,233.0,340.0,353.0,368.0,358.0,727.0,189.0,271.0,247.0,318.0,391.0,317.0,332.0,498.0
SOURE,615.0,713.0,773.0,1170.0,1097.0,1195.0,1264.0,2139.0,642.0,775.0,833.0,1124.0,1085.0,1066.0,1132.0,1498.0
TABUA,470.0,593.0,595.0,749.0,768.0,734.0,742.0,1309.0,503.0,582.0,596.0,716.0,743.0,743.0,659.0,866.0
VILA-NOVA-DE-POIARES,307.0,361.0,379.0,571.0,505.0,456.0,368.0,671.0,320.0,393.0,395.0,502.0,537.0,427.0,354.0,395.0
ALVAIAZERE,212.0,289.0,291.0,330.0,426.0,432.0,500.0,1034.0,216.0,285.0,324.0,345.0,416.0,420.0,399.0,678.0
ANSIAO,492.0,565.0,577.0,767.0,831.0,799.0,872.0,1463.0,478.0,567.0,612.0,713.0,844.0,781.0,713.0,967.0
BATALHA,776.0,899.0,902.0,1266.0,1188.0,1086.0,879.0,1244.0,820.0,884.0,912.0,1170.0,1145.0,1038.0,815.0,940.0
CASTANHEIRA-DE-PERA,83.0,108.0,111.0,129.0,168.0,197.0,200.0,373.0,82.0,120.0,116.0,136.0,167.0,177.0,202.0,245.0
FIGUEIRO-DOS-VINHOS,172.0,233.0,264.0,307.0,347.0,429.0,431.0,775.0,189.0,249.0,246.0,292.0,343.0,417.0,384.0,490.0
LEIRIA,5918.0,6736.0,7631.0,10028.0,9872.0,8513.0,7158.0,8880.0,6230.0,7171.0,7717.0,9427.0,9184.0,7972.0,6281.0,6549.0
MARINHA-GRANDE,1874.0,1863.0,2061.0,3185.0,2954.0,2689.0,2375.0,2969.0,1909.0,2029.0,1985.0,3060.0,2771.0,2441.0,2260.0,2085.0
PEDROGAO-GRANDE,100.0,149.0,135.0,171.0,216.0,239.0,236.0,552.0,125.0,161.0,152.0,155.0,233.0,245.0,172.0,368.0
POMBAL,2203.0,2573.0,2813.0,3558.0,3586.0,3399.0,3473.0,5230.0,2316.0,2725.0,2901.0,3308.0,3449.0,3220.0,2826.0,3880.0
PORTO-DE-MOS,1024.0,1250.0,1264.0,1696.0,1707.0,1550.0,1355.0,2085.0,1160.0,1329.0,1273.0,1669.0,1688.0,1470.0,1234.0,1522.0
AGUIAR-DA-BEIRA,159.0,228.0,223.0,247.0,313.0,332.0,345.0,612.0,148.0,232.0,206.0,221.0,302.0,322.0,289.0,473.0
CARREGAL-DO-SAL,397.0,496.0,462.0,560.0,605.0,625.0,674.0,1056.0,407.0,483.0,487.0,555.0,574.0,584.0,585.0,720.0
CASTRO-DAIRE,560.0,763.0,634.0,812.0,880.0,900.0,1007.0,1626.0,551.0,777.0,640.0,798.0,933.0,880.0,849.0,1215.0
MANGUALDE,737.0,938.0,1024.0,1187.0,1264.0,1304.0,1239.0,1915.0,825.0,966.0,1070.0,1157.0,1169.0,1235.0,1097.0,1381.0
NELAS,568.0,592.0,665.0,891.0,842.0,964.0,867.0,1414.0,619.0,627.0,668.0,848.0,787.0,875.0,758.0,989.0
OLIVEIRA-DE-FRADES,449.0,555.0,642.0,707.0,731.0,628.0,570.0,939.0,488.0,542.0,594.0,697.0,684.0,604.0,484.0,621.0
PENALVA-DO-CASTELO,242.0,342.0,356.0,399.0,444.0,490.0,533.0,898.0,287.0,358.0,350.0,440.0,419.0,451.0,448.0,659.0
SANTA-COMBA-DAO,434.0,516.0,527.0,717.0,644.0,762.0,789.0,1138.0,452.0,501.0,531.0,656.0,622.0,644.0,685.0,835.0
SAO-PEDRO-DO-SUL,610.0,761.0,789.0,920.0,1039.0,1088.0,1149.0,1834.0,609.0,817.0,794.0,897.0,951.0,989.0,954.0,1202.0
SATAO,453.0,651.0,628.0,761.0,807.0,761.0,739.0,1284.0,498.0,643.0,646.0,689.0,742.0,755.0,646.0,878.0
TONDELA,901.0,1280.0,1284.0,1650.0,1780.0,1799.0,1998.0,3163.0,982.0,1329.0,1380.0,1535.0,1682.0,1716.0,1726.0,2152.0
VILA-NOVA-DE-PAIVA,192.0,253.0,253.0,268.0,304.0,325.0,293.0,569.0,203.0,268.0,257.0,273.0,296.0,282.0,265.0,387.0
VISEU,4615.0,5329.0,5926.0,8015.0,7288.0,6660.0,5856.0,7602.0,4836.0,5379.0,5653.0,7366.0,6395.0,5983.0,5139.0,5207.0
VOUZELA,343.0,492.0,509.0,594.0,650.0,640.0,700.0,1110.0,352.0,522.0,508.0,584.0,631.0,583.0,589.0,812.0
CASTELO-BRANCO,2100.0,2358.0,2794.0,3681.0,3804.0,3716.0,3302.0,5529.0,2149.0,2390.0,2743.0,3481.0,3532.0,3525.0,3068.0,3815.0
IDANHA-A-NOVA,200.0,252.0,278.0,379.0,354.0,485.0,642.0,1628.0,243.0,261.0,316.0,373.0,426.0,469.0,532.0,1204.0
OLEIROS,100.0,154.0,185.0,183.0,281.0,345.0,454.0,922.0,103.0,165.0,221.0,226.0,298.0,368.0,368.0,629.0
PENAMACOR,81.0,152.0,167.0,173.0,242.0,276.0,370.0,984.0,118.0,171.0,201.0,202.0,286.0,304.0,313.0,716.0
PROENCA-A-NOVA,207.0,312.0,308.0,341.0,432.0,498.0,528.0,1174.0,196.0,312.0,386.0,348.0,474.0,542.0,466.0,773.0
VILA-VELHA-DE-RODAO,65.0,89.0,107.0,129.0,138.0,201.0,277.0,670.0,81.0,76.0,116.0,135.0,157.0,190.0,263.0,450.0
ABRANTES,1301.0,1528.0,1697.0,2204.0,2388.0,2525.0,2343.0,4216.0,1486.0,1609.0,1792.0,2256.0,2454.0,2441.0,2009.0,2882.0
ALCANENA,538.0,604.0,672.0,820.0,888.0,901.0,868.0,1343.0,566.0,604.0,711.0,869.0,876.0,864.0,755.0,931.0
CONSTANCIA,196.0,209.0,187.0,316.0,310.0,255.0,243.0,381.0,218.0,195.0,192.0,274.0,305.0,270.0,223.0,257.0
ENTRONCAMENTO,1142.0,1074.0,1296.0,1764.0,1847.0,1368.0,1151.0,1643.0,1182.0,1161.0,1217.0,1642.0,1642.0,1262.0,963.0,1203.0
FERREIRA-DO-ZEZERE,306.0,364.0,384.0,473.0,514.0,525.0,521.0,1089.0,320.0,406.0,417.0,440.0,521.0,516.0,453.0,709.0
